strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
Denmark/DCGC-692906/2025	2025-09-22	XFG.2.10	61.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352267	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.2.10	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.65	1.88
OZ390339	2025-12-05	XFG.2.10	61.00	25C (XFG)	United Kingdom	Scotland	24A	202549	OZ390339	Homo sapiens		XFG.2.10	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-3.38	1.77
USA/IL-RIPHL_16017_G/2026	2026-01-05	XFG.2.10	61.00	25C (XFG)	USA	Illinois	24A	202601	PX927248	Homo sapiens		XFG.2.10	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al		-2.65	1.88
USA/RI-CDC-9625706-001/2025	2025-11-18	XFG.2.10	61.00	25C (XFG)	USA	Rhode Island	24A	202547	PX979672	Homo sapiens	RI State Health Laboratories	XFG.2.10	Older	North America	Centers for Disease Control and Prevention, Coronaviruses and Other Respiratory Viruses Division	Kelleher et al		-2.65	1.88
USA/CO-CDPHE-46015966/2026	2026-01-11	XFG.2.9	62.00	25C (XFG)	USA	Colorado	24A	202602	PX990667	Homo sapiens	Colorado Department of Public Health and Environment	XFG.2.9	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Smith et al		-2.65	1.88
USA/CA-LACPHL-AY15482/2025	2025-10-21	XFG.2	61.00	25C (XFG)	USA	California	24A	202543	PX514312	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.2	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	0.98	-2.65	1.88
USA/CA-LACPHL-AY15680/2025	2025-10-28	XFG.2	61.00	25C (XFG)	USA	California	24A	202544	PX632504	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.2	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	0.98	-2.65	1.88
USA/UT-UPHL-260130288360/2026	2026-01-09	XFG.2	61.00	25C (XFG)	USA	Utah	24A	202601	PZ008610	Homo sapiens	Utah Public Health Laboratory	XFG.2	One month ago	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al	0.98	-2.65	1.88
Denmark/DCGC-693021/2025	2025-09-22	XFG.2	61.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352266	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	0.98	-2.65	1.88
USA/NMDOH-2025035324/2025	2025-12-05	XFG.2	62.00	25C (XFG)	USA	New Mexico	24A	202549	PZ038890	Homo sapiens	New Mexico Department of Health Scientific Laboratory	XFG.2	One month ago	North America	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Benoit et al	0.98	-2.65	1.88
Denmark/DCGC-693040/2025	2025-09-29	XFG.2	62.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352310	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	0.98	-2.65	1.88
OZ392157	2025-12-15	XFG.2	63.00	25C (XFG)	Denmark	Denmark	24A	202551	OZ392157	Homo sapiens		XFG.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	0.98	-2.65	1.88
USA/MN-MDH-48130/2025	2025-09-18	XFG.2.12	61.00	25C (XFG)	USA	Minnesota	24A	202538	PX448349	Homo sapiens	RIDGEVIEW MEDICAL CENTER	XFG.2.12	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
OZ365074	2025-10-12	XFG.2.12	61.00	25C (XFG)	United Kingdom	Scotland	24A	202542	OZ365074	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	XFG.2.12	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-2.65	1.88
BRA/ITpS_bex_001Fr_001/2025	2025-11-26	XFG.2.12	61.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929650	Homo sapiens		XFG.2.12	Older	South America	Instituto Todos pela Saude, NA	Silva et al		-2.65	1.88
BRA/ITpS_fdn_001Fw_001/2025	2025-11-12	XFG.2.12	61.00	25C (XFG)	Brazil	São Paulo	24A	202546	PX929655	Homo sapiens		XFG.2.12	Older	South America	Instituto Todos pela Saude, NA	Silva et al		-2.65	1.88
USA/CA-CDPH-500150739/2025	2025-09-29	XFG.2	61.00	25C (XFG)	USA	California	24A	202540	PX494824	Homo sapiens	TPMG Kaiser Regional	XFG.2	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	0.98	-2.65	1.88
USA/CA-CDPH-500151560/2025	2025-09-16	XFG.2	61.00	25C (XFG)	USA	California	24A	202538	PX886057	Homo sapiens		XFG.2	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	0.98	-2.65	1.88
IRL/GIRL00074036/2025	2025-10-08	XFG.2	62.00	25C (XFG)	Ireland	Waterford	24A	202541	PX580430	Homo sapiens		XFG.2	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	0.98	-2.65	1.88
IRL/GIRL00072589/2025	2025-10-07	XFG.2	61.00	25C (XFG)	Ireland	Dublin	24A	202541	PX580411	Homo sapiens		XFG.2	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	0.98	-2.65	1.88
Denmark/DCGC-693412/2025	2025-11-10	XFG.2	61.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ377042	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	0.98	-2.65	1.88
IRL/GIRL00077751/2025	2025-10-23	XFG.2	61.00	25C (XFG)	Ireland	Kerry	24A	202543	PX634576	Homo sapiens		XFG.2	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	0.98	-2.65	1.88
USA/NMDOH-2025032995/2025	2025-11-09	XFG.2	61.00	25C (XFG)	USA	New Mexico	24A	202546	PZ038837	Homo sapiens	New Mexico Department of Health Scientific Laboratory	XFG.2	One month ago	North America	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Benoit et al	0.98	-2.65	1.88
USA/CO-CDPHE-46104678/2026	2026-02-03	XFG.2	61.00	25C (XFG)	USA	Colorado	24A	202605	PZ087689	Homo sapiens	Colorado Department of Public Health and Environment	XFG.2	One week ago	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	0.98	-2.65	1.88
BRA/ITpS_52F_001Gt_001/2026	2026-01-12	XFG.2	62.00	25C (XFG)	Brazil	São Paulo	24A	202602	PZ044395	Homo sapiens		XFG.2	One month ago	South America	Instituto Todos pela Saude, ITpS	Silva et al	0.98	-2.65	1.88
USA/MN-MDH-49744/2026	2026-02-02	XFG.2	61.00	25C (XFG)	USA	Minnesota	24A	202605	PZ036286	Homo sapiens	LAKE REGION HEALTHCARE	XFG.2	One month ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	0.98	-2.65	1.88
USA/MN-MDH-49462/2026	2026-01-14	XFG.2	61.00	25C (XFG)	USA	Minnesota	24A	202602	PX955548	Homo sapiens	GRAND ITASCA CLINIC AND HOSPITAL	XFG.2	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	0.98	-2.65	1.88
USA/MA-MASPHL-14759/2025	2025-11-13	XFG	61.00	25C (XFG)	USA	Massachusetts	24A	202546	PX763359	Homo sapiens		XFG	Older	North America	Massachusetts State Public Health Lab, DPH	Gagne et al	1.00	-2.65	1.88
USA/PR-CVL-033637/2025	2025-09-19	XFG.14.3	63.00	25C (XFG)	USA	Puerto Rico	24A	202538	PX446112	Homo sapiens	Laboratorio Borinquen	XFG.14.3	Older	North America	Puerto Rico Covid-19 Variant Surveillance Initiative, Puerto Rico Covid-19 Variant Surveillance Initiative	Acevedo-Marquez et al		-2.75	1.89
USA/MA-MASPHL-14869/2025	2025-12-11	XFG.14.5	62.00	25C (XFG)	USA	Massachusetts	24A	202550	PX870177	Homo sapiens		XFG.14.5	Older	North America	Massachusetts State Public Health Lab, DPH	Gagne et al		-2.75	1.89
USA/NJ-PHEL-V25015760/2025	2025-10-17	XFG.14.5	62.00	25C (XFG)	USA	New Jersey	24A	202542	PX649064	Homo sapiens	New Jersey Public Health and Environmental Laboratories	XFG.14.5	Older	North America	NJDOH PHEL Virology Shared Submissions, Public Health and Environmental Laboratories, Virology	Verma et al		-2.75	1.89
USA/MN-MDH-48385/2025	2025-10-16	XFG.14.2	63.00	25C (XFG)	USA	Minnesota	24A	202542	PX474556	Homo sapiens	HEALTHPARTNERS CENTRAL LAB	XFG.14.2	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.75	1.89
USA/CO-CDPHE-45455912/2025	2025-11-13	XFG.14.2	63.00	25C (XFG)	USA	Colorado	24A	202546	PX697898	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.2	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.75	1.89
USA/CO-CDPHE-45935646/2025	2025-12-23	XFG.14.2	63.00	25C (XFG)	USA	Colorado	24A	202552	PX952034	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.2	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.75	1.89
OZ351740	2025-10-08	XFG.14.2	63.00	25C (XFG)	United Kingdom	Wales	24A	202541	OZ351740	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	XFG.14.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-3.48	1.77
OZ362734	2025-10-14	XFG.14.2	63.00	25C (XFG)	United Kingdom	England	24A	202542	OZ362734	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.14.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-2.75	1.89
USA/2025CV0694/2025	2025-09-15	XFG.14.2	63.00	25C (XFG)	USA	Arizona	24A	202538	PX448558	Homo sapiens		XFG.14.2	Older	North America	Arizona Department of Health Services, Virology/Serology	Emerson et al		-2.75	1.89
OZ348531	2025-10-02	XFG.14.2	63.00	25C (XFG)	United Kingdom	England	24A	202540	OZ348531	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.14.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-3.48	1.77
OZ348339	2025-09-29	XFG.14.2	63.00	25C (XFG)	United Kingdom	England	24A	202540	OZ348339	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.14.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-3.48	1.77
IGS-10285-CVDP-D90DAE2D-0267-4AC4-967B-7643C8770920	2025-09-22	XFG.14	62.00	25C (XFG)	Germany		24A	202539				XFG.14	Older	Europe		?		-2.75	1.89
OZ371092	2025-10-23	XFG.14	63.00	25C (XFG)	Slovakia	Slovakia	24A	202543	OZ371092	Homo sapiens	Public Health Authority of the Slovak Republic	XFG.14	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-2.75	1.89
AUT/MUW1855462/2025	2025-10-16	XFG.14	62.00	25C (XFG)	Austria	Vienna	24A	202542	PZ111347	Homo sapiens		XFG.14	One week ago	Europe	Medical University of Vienna, Center for Virology	Camp et al		-2.75	1.89
OZ387860	2025-12-04	XFG.14	64.00	25C (XFG)	United Kingdom	Northern Ireland	24A	202549	OZ387860	Homo sapiens	Regional Virus Laboratory, Belfast Health and Social Care Trust; and: Genomics Core Technology Unit, Queens University Belfast.	XFG.14	Older	Europe	Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl	?		0.00	0.00
OZ375802	2025-11-23	XFG.14	62.00	25C (XFG)	United Kingdom	England	24A	202548	OZ375802	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.14	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-3.57	1.77
USA/MI-UM-10066535647/2025	2025-09-21	XFG.14.1	63.00	25C (XFG)	USA	Michigan	24A	202539	PX704093	Homo sapiens		XFG.14.1	Older	North America	Lauring Lab at University of Michigan, Department of Microbiology and Immunology	Lauring et al	1.06	-2.75	1.89
IRL/GIRL00071956/2025	2025-10-02	XFG.14.1	63.00	25C (XFG)	Ireland	Dublin	24A	202540	PX580402	Homo sapiens		XFG.14.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	1.06	-2.75	1.89
OZ352935	2025-10-03	XFG.14.1	63.00	25C (XFG)	United Kingdom	Northern Ireland	24A	202540	OZ352935	Homo sapiens	Regional Virus Laboratory, Belfast Health and Social Care Trust; and: Genomics Core Technology Unit, Queens University Belfast.	XFG.14.1	Older	Europe	Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl	?	1.06	-2.75	1.89
USA/PR-CVL-034295/2026	2026-01-15	XFG.14.1	63.00	25C (XFG)	USA	Puerto Rico	24A	202602	PX952793	Homo sapiens	Laboratorio Borinquen	XFG.14.1	Older	North America	Puerto Rico Covid-19 Variant Surveillance Initiative, Puerto Rico Covid-19 Variant Surveillance Initiative	Acevedo-Marquez et al	1.06	-2.75	1.89
OZ392146	2025-12-15	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202551	OZ392146	Homo sapiens		XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
IGS-10285-CVDP-BD7D90EE-DE85-4771-B0D7-EB29A6B32F2A	2025-10-06	XFG.14.1	63.00	25C (XFG)	Germany		24A	202541				XFG.14.1	Older	Europe		?	1.06	-2.75	1.89
USA/MD-MDH-12193/2025	2025-10-12	XFG.14.1	63.00	25C (XFG)	USA	Maryland	24A	202542	PX497690	Homo sapiens		XFG.14.1	Older	North America	Maryland Department of Health, CSL	Stegman et al	1.06	-1.25	0.97
USA/2026CV0050/2026	2026-01-21	XFG.14.1	63.00	25C (XFG)	USA	Arizona	24A	202603	PX979729	Homo sapiens		XFG.14.1	Older	North America	Arizona Department of Health Services, Virology/Serology	Le et al	1.06	-2.75	1.89
USA/2026CV0108/2026	2026-03-02	XFG.14.1	63.00	25C (XFG)	USA	Arizona	24A	202609	PZ140879	Homo sapiens		XFG.14.1	3-7 days ago	North America	Arizona Department of Health Services, Virology/Serology	Estes et al	1.06	-2.75	1.89
USA/PR-CVL-034265/2025	2025-11-04	XFG.14.1	63.00	25C (XFG)	USA	Puerto Rico	24A	202545	PX530540	Homo sapiens	Laboratorio Borinquen	XFG.14.1	Older	North America	Puerto Rico Covid-19 Variant Surveillance Initiative, Puerto Rico Covid-19 Variant Surveillance Initiative	Acevedo-Marquez et al	1.06	-2.75	1.89
USA/UT-UPHL-251010293842/2025	2025-10-02	XFG.14.1	63.00	25C (XFG)	USA	Utah	24A	202540	PX931199	Homo sapiens	Utah Public Health Laboratory	XFG.14.1	Older	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al	1.06	-2.75	1.89
OZ348963	2025-09-17	XFG.14.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202538	OZ348963	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	XFG.14.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.06	-2.75	1.89
IGS-10285-CVDP-47F8DC1C-AFA2-41A6-BE2C-A576C62E0207	2025-09-26	XFG.14.1.5	63.00	25C (XFG)	Germany		24A	202539				XFG.14.1.5	Older	Europe		?		-2.75	1.89
USA/CO-CDPHE-45626193/2025	2025-11-12	XFG.14.1.5	63.00	25C (XFG)	USA	Colorado	24A	202546	PX831926	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.1.5	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.75	1.89
USA/CO-CDPHE-46019443/2026	2026-01-14	XFG.14.1.5	63.00	25C (XFG)	USA	Colorado	24A	202602	PX990695	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.1.5	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Smith et al		-2.75	1.89
Denmark/DCGC-693030/2025	2025-10-06	XFG.14.1	64.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352410	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
Denmark/DCGC-693065/2025	2025-09-29	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352339	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
Denmark/DCGC-692833/2025	2025-09-22	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ345982	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
Denmark/DCGC-693015/2025	2025-09-29	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352312	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
Denmark/DCGC-693043/2025	2025-09-22	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352397	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
Denmark/DCGC-693273/2025	2025-10-27	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368696	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-3.48	1.77
Denmark/DCGC-693128/2025	2025-09-22	XFG.14.1	63.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352481	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
OZ405677	2026-01-01	XFG.14.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202553	OZ405677	Homo sapiens		XFG.14.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.06	-3.48	1.77
USA/GKISBBBI41605/2026	2026-02-03	XFG.14.1	63.00	25C (XFG)	USA	New York	24A	202605	PX999996	Homo sapiens		XFG.14.1	One month ago	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	1.06	-2.75	1.89
USA/IL-RIPHL_124500_G/2025	2025-11-20	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202547	PX739659	Homo sapiens		XFG.14.1	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-2.75	1.89
USA/IL-RIPHL_22867_G/2025	2025-12-29	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202553	PZ052440	Homo sapiens		XFG.14.1	One month ago	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-2.75	1.89
USA/IL-RIPHL_33749_G/2026	2026-01-06	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202601	PZ008240	Homo sapiens		XFG.14.1	One month ago	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-2.75	1.89
USA/IL-RIPHL_15975_G/2025	2025-12-25	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202552	PX854674	Homo sapiens		XFG.14.1	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-3.48	1.77
USA/IL-RIPHL_16157_G/2026	2026-02-07	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202605	PZ052420	Homo sapiens		XFG.14.1	One month ago	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-3.48	1.77
USA/IL-RIPHL_15982_G/2025	2025-12-22	XFG.14.1	63.00	25C (XFG)	USA	Illinois	24A	202552	PX854679	Homo sapiens		XFG.14.1	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.06	-2.75	1.89
USA/CA-CDPH-6000022880/2025	2025-09-29	XFG.14.1	63.00	25C (XFG)	USA	California	24A	202540	PX885754	Homo sapiens		XFG.14.1	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	1.06	-2.75	1.89
OZ389622	2025-12-02	XFG.14.1	63.00	25C (XFG)	Slovakia	Slovakia	24A	202549	OZ389622	Homo sapiens		XFG.14.1	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	1.06	-2.75	1.89
AUT/MUW1854774/2025	2025-10-11	XFG.14.1	63.00	25C (XFG)	Austria	Styria	24A	202541	PZ111346	Homo sapiens		XFG.14.1	One week ago	Europe	Medical University of Vienna, Center for Virology	Camp et al	1.06	-2.75	1.89
Denmark/DCGC-692981/2025	2025-09-22	XFG.14.1	64.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352300	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.14.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.06	-2.75	1.89
OZ368500	2025-10-27	XFG.14.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202544	OZ368500	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	XFG.14.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.06	-2.75	1.89
USA/CO-CDPHE-45455972/2025	2025-11-25	XFG.14.1	64.00	25C (XFG)	USA	Colorado	24A	202548	PX697854	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.1	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	1.06	-2.75	1.89
USA/MN-MDH-48842/2025	2025-12-17	XFG.14.1	63.00	25C (XFG)	USA	Minnesota	24A	202551	PX804072	Homo sapiens		XFG.14.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.06	-2.75	1.89
USA/MN-MDH-48977/2025	2025-12-24	XFG.14.1	63.00	25C (XFG)	USA	Minnesota	24A	202552	PX880441	Homo sapiens		XFG.14.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.06	-2.75	1.89
USA/CA-CDPH-500150532/2025	2025-09-18	XFG.14.1	63.00	25C (XFG)	USA	California	24A	202538	PX494669	Homo sapiens	TPMG Kaiser Regional	XFG.14.1	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	1.06	-2.75	1.89
OZ345770	2025-09-26	XFG.14.1	63.00	25C (XFG)	United Kingdom	Wales	24A	202539	OZ345770	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	XFG.14.1	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	1.06	-2.75	1.89
IGS-10285-CVDP-D41614FF-12EC-4143-8BDD-EFE5DC1F50D2	2025-11-26	XFG.14.1.1	63.00	25C (XFG)	Germany		24A	202548				XFG.14.1.1	Older	Europe		?		-2.75	1.89
USA/CO-CDPHE-46104856/2026	2026-02-04	XFG.14.1.1	63.00	25C (XFG)	USA	Colorado	24A	202605	PZ087772	Homo sapiens	Colorado Department of Public Health and Environment	XFG.14.1.1	One week ago	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.75	1.89
USA/MN-MDH-49847/2026	2026-02-12	XFG.14.1.1	63.00	25C (XFG)	USA	Minnesota	24A	202606	PZ095274	Homo sapiens	CENTRACARE LABORATORY SERVICES	XFG.14.1.1	One week ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.75	1.89
USA/OSPHL10992/2026	2026-02-11	XFG.14.1.1	64.00	25C (XFG)	USA	Oregon	24A	202606	PZ092429	Homo sapiens		XFG.14.1.1	One week ago	North America	Oregon State Public Health Laboratory, Virology and Immunology	Tsaknaridis et al		-2.85	1.99
USA/CA-LACPHL-AY16030/2026	2026-01-06	XFG.14.1.1	63.00	25C (XFG)	USA	California	24A	202601	PX971539	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.14.1.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al		-2.75	1.89
USA/CT-DPH-1333494001/2025	2025-11-11	XFG.14.1.1	63.00	25C (XFG)	USA	Connecticut	24A	202546	PX626527	Homo sapiens	Connecticut State Public Health Laboratory	XFG.14.1.1	Older	North America	CT State Public Health Laboratory Submission Group, Katherine A. Kelley State Public Health Laboratory	Incekara et al		-0.20	0.72
