strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
IGS-10285-CVDP-3B2BC0D3-8D2B-43A1-8CAC-5B32C52249B0	2025-11-17	XFG.5.1	61.00	25C (XFG)	Germany		24A	202547			XFG.5.1	Older	Europe		?		1.00	-2.65	1.88
OZ390307	2025-12-03	XFG.5.1	61.00	25C (XFG)	United Kingdom	Scotland	24A	202549	OZ390307	Homo sapiens	XFG.5.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		1.00	-3.38	1.77
USA/CO-CDPHE-44973841/2025	2025-10-04	XFG.5.1	61.00	25C (XFG)	USA	Colorado	24A	202540	PX474420	Homo sapiens	XFG.5.1	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment	1.00	-2.65	1.88
Denmark/DCGC-693345/2025	2025-11-03	XFG.5.1	61.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372677	Homo sapiens	XFG.5.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.88
OZ367361	2025-10-24	XFG.5.1	61.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ367361	Homo sapiens	XFG.5.1	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
IGS-10285-CVDP-D7BF8E94-E51A-49AF-898E-9F31A14FF14B	2025-12-29	XFG.5.1	61.00	25C (XFG)	Germany		24A	202553			XFG.5.1	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-746F9CA4-6942-406A-8E5E-A6F67C529F07	2025-12-23	XFG.5.1	61.00	25C (XFG)	Germany		24A	202552			XFG.5.1	Older	Europe		?		1.00	-2.65	1.88
OZ392112	2025-12-22	XFG.5.1	61.00	25C (XFG)	Denmark	Denmark	24A	202552	OZ392112	Homo sapiens	XFG.5.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		1.00	-2.65	1.88
Denmark/DCGC-693645/2026	2026-01-05	XFG.5.1	61.00	25C (XFG)	Denmark	Denmark	24A	202601	OZ408016	Homo sapiens	XFG.5.1	One month ago	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.88
Denmark/DCGC-693643/2026	2026-01-05	XFG.5.1	61.00	25C (XFG)	Denmark	Denmark	24A	202601	OZ407552	Homo sapiens	XFG.5.1	One month ago	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.88
IGS-10285-CVDP-9F8926FE-8553-499E-84A3-207286A68A05	2025-10-13	XFG	61.00	25C (XFG)	Germany		24A	202542			XFG	Older	Europe		?		1.00	-2.65	1.88
Switzerland/GE-HUG-49187261/2025	2025-09-10	XFG	60.00	25C (XFG)	Switzerland	Not Provided	24A	202537	OZ337214	Homo sapiens	XFG	Older	Europe	SIB, Ch. des Mines 9	?		1.00	-0.89	1.35
Switzerland/GE-HUG-49212183/2025	2025-09-14	XFG	61.00	25C (XFG)	Switzerland	Not Provided	24A	202538	OZ337156	Homo sapiens	XFG	Older	Europe	SIB, Ch. des Mines 9	?		1.00	-0.89	1.35
IGS-10285-CVDP-B87C2222-5488-4F31-86CE-8B6D64AD7EFD	2025-09-15	XFG.28	61.00	25C (XFG)	Germany		24A	202538			XFG.28	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-0C7F6149-76E8-4CE9-BE5C-5B18FE647708	2025-12-03	XFG.28	61.00	25C (XFG)	Germany		24A	202549			XFG.28	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-2A9D512D-956F-48DF-9FC7-AC465F8AA143	2025-11-24	XFG.28	62.00	25C (XFG)	Germany		24A	202548			XFG.28	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-BB937D58-B7B0-4883-921E-63A032BE9EFE	2026-01-09	XFG.28	62.00	25C (XFG)	Germany		24A	202601			XFG.28	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-551D05CC-6F3A-4426-B84F-20206F8D1B14	2025-09-24	XFG.28	61.00	25C (XFG)	Germany		24A	202539			XFG.28	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693392/2025	2025-11-10	XFG.28	61.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ376972	Homo sapiens	XFG.28	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ352531	2025-10-14	XFG.28	61.00	25C (XFG)	United Kingdom	Wales	24A	202542	OZ352531	Homo sapiens	XFG.28	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-3.38	1.77
OZ367157	2025-10-24	XFG.28	61.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ367157	Homo sapiens	XFG.28	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
IGS-10285-CVDP-0A3143A6-0AF8-41D1-9494-101100711032	2025-09-16	XFG.26	61.00	25C (XFG)	Germany		24A	202538			XFG.26	Older	Europe		?			-2.65	1.88
OZ362996	2025-10-23	XFG.26	61.00	25C (XFG)	United Kingdom	England	24A	202543	OZ362996	Homo sapiens	XFG.26	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-2.65	1.88
Denmark/DCGC-693287/2025	2025-10-20	XFG.26	61.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368793	Homo sapiens	XFG.26	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
USA/MD-MDH-12831/2026	2026-02-06	XFG.26	61.00	25C (XFG)	USA	Maryland	24A	202605	PZ048777	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-2.65	1.88
USA/MD-MDH-12864/2026	2026-02-18	XFG.26	60.00	25C (XFG)	USA	Maryland	24A	202607	PZ056297	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-2.21	1.23
Denmark/DCGC-693444/2025	2025-11-17	XFG.26	61.00	25C (XFG)	Denmark	Denmark	24A	202547	OZ376998	Homo sapiens	XFG.26	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
IGS-10285-CVDP-F161FB1A-D97F-4531-ADA2-616488E2E994	2025-10-01	XFG.26	61.00	25C (XFG)	Germany		24A	202540			XFG.26	Older	Europe		?			-2.65	1.88
Denmark/DCGC-692995/2025	2025-09-01	XFG.26	61.00	25C (XFG)	Denmark	Denmark	24A	202536	OZ352285	Homo sapiens	XFG.26	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.38	1.77
Denmark/DCGC-693050/2025	2025-10-06	XFG.26	61.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352445	Homo sapiens	XFG.26	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
Denmark/DCGC-693138/2025	2025-10-06	XFG.26	61.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352477	Homo sapiens	XFG.26	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ345597	2025-09-25	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202539	OZ345597	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
IGS-10285-CVDP-341ACFD3-CCBF-4A18-A191-57AE6000C489	2025-11-06	XFG.26	61.00	25C (XFG)	Germany		24A	202545			XFG.26	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-FF3A5FBE-8974-40A8-B857-D78AB4184815	2025-12-01	XFG.26	62.00	25C (XFG)	Germany		24A	202549			XFG.26	Older	Europe		?			-2.65	1.88
OZ363014	2025-10-21	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ363014	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-3.38	1.77
OZ348435	2025-10-02	XFG.26	61.00	25C (XFG)	United Kingdom	England	24A	202540	OZ348435	Homo sapiens	XFG.26	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-3.38	1.77
OZ405726	2026-01-09	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202601	OZ405726	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?			-2.65	1.88
OZ405717	2026-01-07	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202601	OZ405717	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?			-2.65	1.88
OZ390242	2025-12-20	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202551	OZ390242	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?			-2.65	1.88
OZ390276	2025-12-28	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202553	OZ390276	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?			-2.65	1.88
OZ404359	2026-01-01	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202553	OZ404359	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ404372	2026-01-02	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202553	OZ404372	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ405678	2026-01-04	XFG.26	61.00	25C (XFG)	United Kingdom	Wales	24A	202601	OZ405678	Homo sapiens	XFG.26	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?			-2.65	1.88
IGS-10285-CVDP-93A36D94-176C-4B51-BBF9-182775AE5788	2025-10-07	XFG	61.00	25C (XFG)	Germany		24A	202541			XFG	Older	Europe		?		1.00	-2.65	1.88
IRL/GIRL00075460/2025	2025-10-15	XFG	61.00	25C (XFG)	Ireland	Galway	24A	202542	PX580438	Homo sapiens	XFG	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		1.00	-2.65	1.88
Denmark/DCGC-693192/2025	2025-10-06	XFG	61.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ368799	Homo sapiens	XFG	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.88
IGS-10285-CVDP-AE3EA3E3-1851-4B71-ADEA-BFE760AF595C	2025-10-21	XFG	61.00	25C (XFG)	Germany		24A	202543			XFG	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-7C4B24AE-1590-455A-87CE-3A95C8FF327C	2025-10-06	XFG	61.00	25C (XFG)	Germany		24A	202541			XFG	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-C7A356DF-85B6-4D7E-A7B4-5360F1BC3E10	2025-12-05	XFG	61.00	25C (XFG)	Germany		24A	202549			XFG	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-BC4D97C4-FE3A-462B-9F34-8D0D99628607	2025-12-23	XFG	61.00	25C (XFG)	Germany		24A	202552			XFG	Older	Europe		?		1.00	-2.65	1.88
Switzerland/VD-CHUV-GEN23395/2025	2025-09-07	XFG.9.4	60.00	25C (XFG)	Switzerland	Not Provided	24A	202537	OZ344858	Homo sapiens	XFG.9.4	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
Switzerland/GE-HUG-49099565/2025	2025-09-02	XFG.9.4	61.00	25C (XFG)	Switzerland	Not Provided	24A	202536	OZ337250	Homo sapiens	XFG.9.4	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
IRL/GIRL00077788/2025	2025-10-22	XFG.9.4	62.00	25C (XFG)	Ireland	Galway	24A	202543	PX634577	Homo sapiens	XFG.9.4	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al			-2.65	1.88
USA/CO-CDPHE-45626041/2025	2025-12-03	XFG.9.4	62.00	25C (XFG)	USA	Colorado	24A	202549	PX832073	Homo sapiens	XFG.9.4	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al			-2.65	1.88
USA/MD-MDH-12366/2025	2025-11-20	XFG.9.4	62.00	25C (XFG)	USA	Maryland	24A	202547	PX667563	Homo sapiens	XFG.9.4	Older	North America	Maryland Department of Health, DVI	Stegman et al			-2.27	1.33
USA/2025CV0868/2025	2025-10-27	XFG.9.4	61.00	25C (XFG)	USA	Arizona	24A	202544	PX740470	Homo sapiens	XFG.9.4	Older	North America	Arizona Department of Health Services, Virology/Serology	Emerson et al			-2.65	1.88
USA/CO-CDPHE-45455924/2025	2025-11-14	XFG.9.4	61.00	25C (XFG)	USA	Colorado	24A	202546	PX697922	Homo sapiens	XFG.9.4	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.65	1.88
USA/CO-CDPHE-44973901/2025	2025-09-23	XFG.9.4	61.00	25C (XFG)	USA	Colorado	24A	202539	PX474405	Homo sapiens	XFG.9.4	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.65	1.88
IGS-10285-CVDP-79998F5A-49E3-4B38-A6FB-719E671CEE15	2025-11-17	XFG.9.4	61.00	25C (XFG)	Germany		24A	202547			XFG.9.4	Older	Europe		?			-2.65	1.88
OZ377429	2025-11-27	XFG.9.4	61.00	25C (XFG)	United Kingdom	Scotland	24A	202548	OZ377429	Homo sapiens	XFG.9.4	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.65	1.88
OZ375520	2025-11-12	XFG.9.4	61.00	25C (XFG)	United Kingdom	Scotland	24A	202546	OZ375520	Homo sapiens	XFG.9.4	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-3.38	1.77
IGS-10285-CVDP-CFBACDFB-F938-49FB-B8A8-940296BAC7E6	2025-09-29	XFG.9.4	61.00	25C (XFG)	Germany		24A	202540			XFG.9.4	Older	Europe		?			-2.65	1.88
OZ348943	2025-10-03	XFG.9.4	61.00	25C (XFG)	United Kingdom	England	24A	202540	OZ348943	Homo sapiens	XFG.9.4	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-2.65	1.88
IGS-10285-CVDP-0D654E36-6DB6-4C45-BC60-D0F2173EFBB2	2025-09-15	XFG.9.4.1	62.00	25C (XFG)	Germany		24A	202538			XFG.9.4.1	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-88B70714-6CE9-4442-8E6D-450A5E59CF55	2025-10-07	XFG.9.4	61.00	25C (XFG)	Germany		24A	202541			XFG.9.4	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-85DF8A33-AF6D-4AE4-936B-A02D890326AF	2025-10-02	XFG.9.4	61.00	25C (XFG)	Germany		24A	202540			XFG.9.4	Older	Europe		?			-2.65	1.88
OZ336391	2025-09-12	XFG.9.4	61.00	25C (XFG)	United Kingdom	Scotland	24A	202537	OZ336391	Homo sapiens	XFG.9.4	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.65	1.88
Switzerland/BS-USB-e9b6c170_e3811daa/2025	2025-09-05	XFG.9.1	61.00	25C (XFG)	Switzerland	Not Provided	24A	202536	OZ337287	Homo sapiens	XFG.9.1	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
Switzerland/BS-USB-db7f9476_fc631f8e/2025	2025-09-06	XFG.9.1	61.00	25C (XFG)	Switzerland	Not Provided	24A	202536	OZ337267	Homo sapiens	XFG.9.1	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
USA/MN-MDH-48504/2025	2025-11-01	XFG.9.1	61.00	25C (XFG)	USA	Minnesota	24A	202544	PX608430	Homo sapiens	XFG.9.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	MAYO CLINIC SAINT MARYS CAMPUS		-2.65	1.88
USA/MN-MDH-49764/2026	2026-02-06	XFG.9.1	61.00	25C (XFG)	USA	Minnesota	24A	202605	PZ036306	Homo sapiens		3-7 days ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al			-2.65	1.88
IGS-10285-CVDP-C03E2834-98D7-4E08-A7A0-64B593BDFDD9	2025-10-23	XFG.9.1	61.00	25C (XFG)	Germany		24A	202543			XFG.9.1	Older	Europe		?			-2.65	1.88
OZ362710	2025-10-09	XFG.9.1	61.00	25C (XFG)	United Kingdom	England	24A	202541	OZ362710	Homo sapiens	XFG.9.1	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-2.65	1.88
IGS-10285-CVDP-24FEE94D-E42A-4394-AFC1-61D9DB960546	2026-02-10	XFG.9.1	61.00	25C (XFG)	Germany		24A	202606			XFG.9.1	3-7 days ago	Europe		?			-2.65	1.88
Denmark/DCGC-693194/2025	2025-10-13	XFG.9.1	62.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368844	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.38	1.77
Denmark/DCGC-692939/2025	2025-10-06	XFG.9.1	61.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352252	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.38	1.77
Denmark/DCGC-693048/2025	2025-09-29	XFG.9.1	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352426	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
Denmark/DCGC-693301/2025	2025-10-13	XFG.9.1	61.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368721	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.38	1.77
Denmark/DCGC-693053/2025	2025-09-29	XFG.9.1	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352254	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
IRL/FBD24052_pass_barcode57_cd5c9477_46f2189e/2025	2025-09-17	XFG.9.1	59.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX632234	Homo sapiens	XFG.9.1	Older	Europe	University Hospital Limerick, Microbiology	Powell et al			-2.65	1.88
IRL/FBD24052_pass_barcode61_cd5c9477_46f2189e/2025	2025-09-17	XFG.9.1	59.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX632237	Homo sapiens	XFG.9.1	Older	Europe	University Hospital Limerick, Microbiology	Powell et al			-2.65	1.88
IRL/FBD24052_pass_barcode25_61bf6645_36573cb1/2025	2025-09-19	XFG.9.1	61.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX496729	Homo sapiens	XFG.9.1	Older	Europe	University Hospital Limerick, Microbiology	Dillon et al			-2.65	1.88
IRL/FBD24052_pass_barcode42_61bf6645_36573cb1/2025	2025-09-24	XFG.9.1	61.00	25C (XFG)	Ireland	Mid-West	24A	202539	PX496742	Homo sapiens	XFG.9.1	Older	Europe	University Hospital Limerick, Microbiology	Dillon et al			-2.65	1.88
OZ345590	2025-09-25	XFG.9.1	61.00	25C (XFG)	United Kingdom	Wales	24A	202539	OZ345590	Homo sapiens	XFG.9.1	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ336565	2025-09-12	XFG.9.1	61.00	25C (XFG)	United Kingdom	Scotland	24A	202537	OZ336565	Homo sapiens	XFG.9.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.65	1.88
Denmark/DCGC-693342/2025	2025-11-03	XFG.9.1	61.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372633	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
Denmark/DCGC-693201/2025	2025-10-06	XFG.9.1	60.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ368681	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.27	1.70
OZ392148	2025-12-22	XFG.9.1	62.00	25C (XFG)	Denmark	Denmark	24A	202552	OZ392148	Homo sapiens	XFG.9.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al			-2.65	1.88
Denmark/DCGC-693631/2026	2026-01-05	XFG.9.1	62.00	25C (XFG)	Denmark	Denmark	24A	202601	OZ408036	Homo sapiens	XFG.9.1	One month ago	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
USA/CA-LACPHL-AY15920/2025	2025-12-13	XFG.9.1	61.00	25C (XFG)	USA	California	24A	202550	PX849598	Homo sapiens	XFG.9.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al			-2.65	1.88
OZ386211	2025-12-05	XFG.9.1	61.00	25C (XFG)	United Kingdom	England	24A	202549	OZ386211	Homo sapiens	XFG.9.1	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		0.00	0.00
IGS-10285-CVDP-E6ABCF2B-603E-4CF1-A257-EBBFDE8C8D1C	2025-11-10	XFG.9.1	61.00	25C (XFG)	Germany		24A	202546			XFG.9.1	Older	Europe		?			-2.65	1.88
OZ386194	2025-12-01	XFG.9.1	62.00	25C (XFG)	United Kingdom	England	24A	202549	OZ386194	Homo sapiens	XFG.9.1	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		0.00	0.00
IGS-10285-CVDP-DFFB2114-4095-4DE7-8C54-2829F4699C48	2025-09-11	XFG.9.3.2	62.00	25C (XFG)	Germany		24A	202537			XFG.9.3.2	Older	Europe		?			-2.65	1.88
USA/MN-MDH-49029/2025	2025-12-22	XFG.9.3.2	61.00	25C (XFG)	USA	Minnesota	24A	202552	PX880414	Homo sapiens	XFG.9.3.2	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al			-2.65	1.88
OZ346302	2025-10-04	XFG.9.3.2	61.00	25C (XFG)	United Kingdom	Wales	24A	202540	OZ346302	Homo sapiens	XFG.9.3.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-3.38	1.77
OZ335475	2025-09-18	XFG.9.3.2	61.00	25C (XFG)	United Kingdom	England	24A	202538	OZ335475	Homo sapiens	XFG.9.3.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-2.65	1.88
IGS-10285-CVDP-99D88C81-CBAF-4E55-91A2-6E91D6542A3C	2025-11-04	XFG.9.3.2	61.00	25C (XFG)	Germany		24A	202545			XFG.9.3.2	Older	Europe		?			-2.65	1.88
